30 132
0 1 15
0 2 58
0 3 79
0 4 1
0 5 44
0 6 78
0 7 61
0 8 90
0 9 95
1 2 53
1 3 78
1 4 49
1 5 72
1 6 50
1 7 43
1 8 25
1 9 100
2 3 51
2 4 70
2 5 59
2 6 31
2 7 71
2 8 21
2 9 55
3 4 46
3 5 7
3 6 81
3 7 92
3 8 71
3 9 48
4 5 7
4 6 18
4 7 11
4 8 36
4 9 38
5 6 54
5 7 85
5 8 84
5 9 36
5 10 1
6 7 57
6 8 85
6 9 45
7 8 28
7 9 93
8 9 11
9 10 92
10 11 29
10 12 45
10 13 53
10 14 8
10 15 16
10 16 41
10 17 51
10 18 95
10 19 94
11 12 64
11 13 31
11 14 6
11 15 91
11 16 72
11 17 90
11 18 56
11 19 41
12 13 100
12 14 68
12 15 48
12 16 73
12 17 25
12 18 31
12 19 79
13 14 1
13 15 38
13 16 17
13 17 81
13 18 21
13 19 58
14 15 47
14 16 35
14 17 36
14 18 3
14 19 64
15 16 19
15 17 22
15 18 51
15 19 58
15 20 99
16 17 11
16 18 68
16 19 86
17 18 63
17 19 97
18 19 64
19 20 86
20 21 40
20 22 28
20 23 59
20 24 14
20 25 77
20 26 90
20 27 91
20 28 74
21 22 21
21 23 78
21 24 26
21 25 76
21 26 38
21 27 32
21 28 36
22 23 12
22 24 18
22 25 68
22 26 40
22 27 86
22 28 19
23 24 32
23 25 77
23 26 63
23 27 57
23 28 78
24 25 33
24 26 81
24 27 58
24 28 3
25 26 89
25 27 28
25 28 83
25 29 42
26 27 83
26 28 87
27 28 75
28 29 85
0 29
